,epoch,train_accuracy,validation_matched_accuracy,validation_mismatched_accuracy
0,0,0.5491237630569745,0.7159449821701477,0.7374898291293734
1,1,0.73946911398465,0.7842078451349974,0.791293734743694
2,2,0.7882898482819033,0.8011207335710647,0.80553295362083
3,3,0.8176989167358455,0.807743250127356,0.8120423108218063
4,4,0.8380782374421317,0.813143148242486,0.8144833197721725
5,5,0.8544494298475689,0.810697911360163,0.8160089503661514
6,6,0.8673116001446389,0.8109016811003565,0.8176362896663955
7,7,0.8772529806316239,0.8110035659704534,0.815907241659886
8,8,0.8845664142275822,0.8120224146714213,0.8165174938974776
9,9,0.8902883102199632,0.8161996943453897,0.8180431244914564
