,epoch,train_accuracy,train_f1,validation_accuracy,validation_f1
0,0,0.7389609889898473,0.6470715012968482,0.839055157061588,0.7809312190687809
1,1,0.848631014220302,0.7990762798740647,0.8648528320554044,0.8087370484458135
2,2,0.8797952980106968,0.8403597526700395,0.8739549839228296,0.8183503243744208
3,3,0.9013621147408519,0.868932623867417,0.8867919861488993,0.8424169392322259
4,4,0.9168576815465884,0.8893392399228874,0.8883255008656938,0.8422817619729626
5,5,0.9295855939051137,0.9061387183282288,0.8918130101409845,0.8470736312146003
6,6,0.9389247099047399,0.9184154490050664,0.8941380163245115,0.8528906303705232
7,7,0.9455621334300776,0.9271777374986674,0.8952015829829335,0.854173119944932
8,8,0.9511029391555769,0.93451607560226,0.8972050457581005,0.8586490714917353
9,9,0.955057909115395,0.9397458951154084,0.8987138263665595,0.8622464426279141
