,epoch,train_pearson,train_spearmanr,validation_pearson,validation_spearmanr
0,0,0.08980758370654322,0.08924182922990254,0.059423169433755724,0.08108883101545765
1,1,0.1730353049861381,0.1569496553022033,0.26717311971459995,0.2756147527272534
2,2,0.22140303720626983,0.21133503723227942,0.3776697739210503,0.38096361644853893
3,3,0.24215554563821742,0.23648295373211434,0.3772725149784118,0.37161982018541495
4,4,0.29687860213988837,0.30969137259318824,0.3791675803561608,0.37841872645329305
5,5,0.3593465802658298,0.37726349692143474,0.3608420753122301,0.3492386499555544
6,6,0.4171981761613785,0.42791706416077907,0.33085688798796803,0.31162236007171024
7,7,0.435036147965543,0.4323956141049875,0.3065712424152486,0.2869382191163845
8,8,0.45273802594128976,0.4421541861217702,0.300533098893019,0.2830152413236148
9,9,0.43040478707760055,0.4194010842010035,0.3213592454313801,0.30041729424275565
