,epoch,train_accuracy,train_f1,validation_accuracy,validation_f1
0,0,0.5070883315158125,0.5713608345187292,0.6838235294117647,0.8122270742358079
1,1,0.6750272628135223,0.8056732963808281,0.6936274509803921,0.8169838945827232
2,2,0.7001090512540894,0.8119015047879617,0.7156862745098039,0.8242424242424242
3,3,0.7358233369683751,0.8219731765570458,0.7450980392156863,0.8395061728395062
4,4,0.7712649945474372,0.8403425309229304,0.7450980392156863,0.8414634146341464
5,5,0.7919847328244275,0.851063829787234,0.7549019607843137,0.8466257668711658
6,6,0.8113413304252999,0.8628072957969866,0.7720588235294118,0.8549141965678627
7,7,0.8189749182115594,0.8675708017550857,0.7696078431372549,0.8540372670807453
8,8,0.8276990185387132,0.8732959101844426,0.7696078431372549,0.8540372670807453
9,9,0.8353326063249727,0.878714859437751,0.7745098039215687,0.8566978193146417
