,epoch,train_pearson,train_spearmanr,validation_pearson,validation_spearmanr
0,0,0.26367810915209666,0.2616240008695868,0.18692835089490611,0.19571537616847282
1,1,0.23308808757331612,0.21481134768935362,0.35727161722567824,0.3428060016986357
2,2,0.2138917820699286,0.19786952915674547,0.46223564850974164,0.45134751165767095
3,3,0.23829426793440572,0.22101138049953162,0.28652784571480616,0.2562136269936945
4,4,0.25270393856957724,0.24119960777561225,0.3558324113840604,0.32776574874361947
5,5,0.28822223029717686,0.2782604661836891,0.38498637269189173,0.3571891945811505
6,6,0.35903252735456415,0.3409430162615608,0.33390891636609754,0.28177702847597086
7,7,0.3967895948243867,0.36989230870835965,0.27328173043981685,0.21239186505751742
8,8,0.39261496223761105,0.3683691027496742,0.24805372979007823,0.2032800207072434
9,9,0.3699086824526736,0.3463127221157616,0.26543284895598107,0.22960931127665024
