,epoch,train_accuracy,train_f1,validation_accuracy,validation_f1
0,0,0.670392584514722,0.7871104067617538,0.7769607843137255,0.8465430016863407
1,1,0.7699018538713195,0.8361165048543691,0.7990196078431373,0.8540925266903916
2,2,0.8366957470010905,0.8810800079412349,0.8578431372549019,0.8986013986013986
3,3,0.8972191930207197,0.9239459350413557,0.8480392156862745,0.8904593639575972
4,4,0.9372955288985824,0.9535541195476576,0.8578431372549019,0.8993055555555555
5,5,0.9588331515812432,0.9694270095160964,0.8627450980392157,0.904109589041096
6,6,0.972464558342421,0.9795918367346939,0.8504901960784313,0.897133220910624
7,7,0.9809160305343512,0.9858585858585859,0.8578431372549019,0.9016949152542373
8,8,0.9836423118865867,0.9878591663294213,0.8700980392156863,0.9103214890016922
9,9,0.9877317339149401,0.9909035779260157,0.8627450980392157,0.9047619047619047
