,epoch,train_accuracy,train_f1,validation_accuracy,validation_f1
0,0,0.6690294438386042,0.7847517730496454,0.7720588235294118,0.8521462639109697
1,1,0.7786259541984732,0.8391442155309033,0.8406862745098039,0.8857644991212652
2,2,0.8694111232279171,0.9031344792719919,0.8553921568627451,0.8977469670710572
3,3,0.9217557251908397,0.9416785206258891,0.8651960784313726,0.9036777583187391
4,4,0.950381679389313,0.9630831643002027,0.8455882352941176,0.8955223880597015
5,5,0.97546346782988,0.9817887494941319,0.8529411764705882,0.8920863309352518
6,6,0.9899127589967285,0.9925207196280573,0.8431372549019608,0.8900343642611684
7,7,0.9934569247546347,0.9951456310679612,0.8578431372549019,0.8999999999999999
8,8,0.9961832061068703,0.9971694298422967,0.8504901960784313,0.8942807625649914
9,9,0.997546346782988,0.9981799797775531,0.8700980392156863,0.9100169779286927
