,epoch,train_accuracy,validation_matched_accuracy,validation_mismatched_accuracy
0,0,0.6892223619945913,0.7971472236372898,0.8060414971521562
1,1,0.8065887110327933,0.8086602139582272,0.8123474369406021
2,2,0.852845159943163,0.8156902699949058,0.8097030105777054
3,3,0.8991296199153557,0.8012226184411615,0.807160292921074
4,4,0.9309043498632551,0.8056036678553234,0.8030919446704637
5,5,0.9516248962317483,0.8103922567498727,0.8119406021155411
6,6,0.9664096439539396,0.8113092205807437,0.8100081366965012
7,7,0.9771047766499789,0.8064187468160978,0.8118388934092758
8,8,0.9855692102408442,0.8109016811003565,0.8201790073230268
9,9,0.9909422411905211,0.8234335201222619,0.8254678600488202
