,epoch,train_accuracy,train_f1,validation_accuracy,validation_f1
0,0,0.7842851096342959,0.7040895192637583,0.8418253771951522,0.7594508181305247
1,1,0.8689582955426197,0.8254456391613307,0.8619094731634924,0.7900417434470309
2,2,0.906218564997279,0.8750640753379516,0.8887212465990602,0.8416235434928011
3,3,0.9375559989665958,0.9166721680640215,0.8967103635913926,0.8577269010629599
4,4,0.9578255635626062,0.943560281444592,0.8990353697749196,0.8612979952429493
5,5,0.9699653149959049,0.959695206060472,0.9008656937917388,0.8677925847737169
6,6,0.9779219779796947,0.9702867753402059,0.9022260697501855,0.8663849923947947
7,7,0.9838393166339605,0.9782139919525153,0.9041058619836755,0.869051237882933
8,8,0.9880416439922385,0.9838570246615393,0.9050210239920851,0.8694410444716442
9,9,0.9906663808314506,0.9873911203190092,0.9064061340588672,0.8738161931439242
