,epoch,train_accuracy,train_f1,validation_accuracy,validation_f1
0,0,0.6982006543075245,0.7903806097330051,0.8063725490196079,0.8630849220103985
1,1,0.8176117775354417,0.8662802318608835,0.8529411764705882,0.8905109489051095
2,2,0.9217557251908397,0.9417967957817887,0.8676470588235294,0.9021739130434783
3,3,0.9716466739367503,0.9789473684210527,0.8578431372549019,0.8929889298892988
4,4,0.9841875681570338,0.9882638607851072,0.8676470588235294,0.9052631578947367
5,5,0.9912758996728462,0.9935275080906149,0.8627450980392157,0.904109589041096
6,6,0.9945474372955289,0.995959595959596,0.8700980392156863,0.9078260869565218
7,7,0.9964558342420938,0.9973721447341823,0.8823529411764706,0.915492957746479
8,8,0.997546346782988,0.9981829194427619,0.8725490196078431,0.907473309608541
9,9,0.9989094874591058,0.9991912656692276,0.8725490196078431,0.9087719298245615
