,epoch,train_accuracy,validation_matched_accuracy,validation_mismatched_accuracy
0,0,0.7362300166538495,0.8597045338767193,0.8557770545158666
1,1,0.8526490825104023,0.8522669383596536,0.8569975589910497
2,2,0.8833517527285321,0.8555272542027509,0.8596419853539463
3,3,0.9157045291340508,0.8528782475802343,0.8550650935720098
4,4,0.9396259759308585,0.8468670402445236,0.8483523189585028
5,5,0.9563765909009886,0.8519612837493632,0.8489625711960944
6,6,0.9675326328870237,0.8543046357615894,0.8559804719283971
7,7,0.9764528828475536,0.8483953132959755,0.8534377542717657
8,8,0.9833334182153388,0.8546102903718797,0.8576078112286412
9,9,0.9884696283696034,0.8651044319918492,0.8633034987794955
