,epoch,train_accuracy,train_f1,validation_accuracy,validation_f1
0,0,0.6526717557251909,0.7804205446397794,0.7303921568627451,0.8253968253968254
1,1,0.7562704471101418,0.8302316748955564,0.8627450980392157,0.9063545150501673
2,2,0.8549618320610687,0.8920454545454546,0.8799019607843137,0.9123434704830053
3,3,0.906215921483097,0.9302796919335224,0.8872549019607843,0.9166666666666666
4,4,0.9476553980370774,0.9611807521229276,0.8897058823529411,0.9203539823008849
5,5,0.9719193020719739,0.979204522511609,0.8799019607843137,0.9120287253141832
6,6,0.9855507088331515,0.9892864362239742,0.8578431372549019,0.8996539792387542
7,7,0.9885496183206107,0.9915151515151515,0.875,0.9057301293900184
8,8,0.9934569247546347,0.9951417004048583,0.8799019607843137,0.9141856392294221
9,9,0.9970010905125409,0.9977773287532835,0.8848039215686274,0.9173989455184535
