,epoch,train_pearson,train_spearmanr,validation_pearson,validation_spearmanr
0,0,0.24578926846483717,0.227886918397892,0.7136862482546067,0.7307239709528771
1,1,0.2811733695839244,0.2618260000591155,0.5737776319413117,0.6035998371858088
2,2,0.25895727566100346,0.25182685082703044,0.6937040333816495,0.7227934975225411
3,3,0.3305226845687702,0.298281637254669,0.6475779770323735,0.6936117941617933
4,4,0.39476618690230875,0.3570055872964584,0.6596903132320342,0.7161021739050557
5,5,0.461594410082894,0.4255603004857876,0.618891617704062,0.736025441448469
6,6,0.49394306276282446,0.45876767939121216,0.628316628996032,0.735208520303085
7,7,0.49822761025075957,0.46357445994237534,0.6519009532673622,0.7275704285036523
8,8,0.5014645412290191,0.4762824731703945,0.6327794245006151,0.7063564203720611
9,9,0.5506896696424964,0.5236309315756068,0.6050009963280658,0.6796391988491874
