,epoch,train_accuracy,train_f1,validation_accuracy,validation_f1
0,0,0.6354961832061069,0.750140160717623,0.7941176470588235,0.852112676056338
1,1,0.8219738276990185,0.8715830875122911,0.8553921568627451,0.8944543828264758
2,2,0.9111232279171211,0.9344328238133547,0.8602941176470589,0.8934579439252337
3,3,0.9656488549618321,0.9745145631067962,0.8799019607843137,0.9132743362831858
4,4,0.9855507088331515,0.9892994144962648,0.8848039215686274,0.9173989455184535
5,5,0.990185387131952,0.9927302100161551,0.8848039215686274,0.9159212880143113
6,6,0.9929116684841875,0.994751715785224,0.8725490196078431,0.9057971014492753
7,7,0.9956379498364231,0.9967676767676769,0.8823529411764706,0.9151943462897526
8,8,0.9978189749182116,0.9983838383838384,0.8872549019607843,0.9184397163120569
9,9,0.9980916030534351,0.9985855728429985,0.8823529411764706,0.9142857142857143
