Module                                                       Parameters
---------------------------------------------------------  ------------
model.embeddings.LayerNorm.weight                                   768
model.embeddings.LayerNorm.bias                                     768
model.encoder.layer.0.attention.self.lora_query_matrix_B          6_144
model.encoder.layer.0.attention.self.lora_query_matrix_A          6_144
model.encoder.layer.0.attention.self.lora_value_matrix_B          6_144
model.encoder.layer.0.attention.self.lora_value_matrix_A          6_144
model.encoder.layer.0.attention.self.query.bias                     768
model.encoder.layer.0.attention.self.key.bias                       768
model.encoder.layer.0.attention.self.value.bias                     768
model.encoder.layer.0.attention.output.dense.bias                   768
model.encoder.layer.0.attention.output.LayerNorm.weight             768
model.encoder.layer.0.attention.output.LayerNorm.bias               768
model.encoder.layer.0.intermediate.dense.bias                     3_072
model.encoder.layer.0.output.dense.bias                             768
model.encoder.layer.0.output.LayerNorm.weight                       768
model.encoder.layer.0.output.LayerNorm.bias                         768
model.encoder.layer.1.attention.self.lora_query_matrix_B          6_144
model.encoder.layer.1.attention.self.lora_query_matrix_A          6_144
model.encoder.layer.1.attention.self.lora_value_matrix_B          6_144
model.encoder.layer.1.attention.self.lora_value_matrix_A          6_144
model.encoder.layer.1.attention.self.query.bias                     768
model.encoder.layer.1.attention.self.key.bias                       768
model.encoder.layer.1.attention.self.value.bias                     768
model.encoder.layer.1.attention.output.dense.bias                   768
model.encoder.layer.1.attention.output.LayerNorm.weight             768
model.encoder.layer.1.attention.output.LayerNorm.bias               768
model.encoder.layer.1.intermediate.dense.bias                     3_072
model.encoder.layer.1.output.dense.bias                             768
model.encoder.layer.1.output.LayerNorm.weight                       768
model.encoder.layer.1.output.LayerNorm.bias                         768
model.encoder.layer.2.attention.self.lora_query_matrix_B          6_144
model.encoder.layer.2.attention.self.lora_query_matrix_A          6_144
model.encoder.layer.2.attention.self.lora_value_matrix_B          6_144
model.encoder.layer.2.attention.self.lora_value_matrix_A          6_144
model.encoder.layer.2.attention.self.query.bias                     768
model.encoder.layer.2.attention.self.key.bias                       768
model.encoder.layer.2.attention.self.value.bias                     768
model.encoder.layer.2.attention.output.dense.bias                   768
model.encoder.layer.2.attention.output.LayerNorm.weight             768
model.encoder.layer.2.attention.output.LayerNorm.bias               768
model.encoder.layer.2.intermediate.dense.bias                     3_072
model.encoder.layer.2.output.dense.bias                             768
model.encoder.layer.2.output.LayerNorm.weight                       768
model.encoder.layer.2.output.LayerNorm.bias                         768
model.encoder.layer.3.attention.self.lora_query_matrix_B          6_144
model.encoder.layer.3.attention.self.lora_query_matrix_A          6_144
model.encoder.layer.3.attention.self.lora_value_matrix_B          6_144
model.encoder.layer.3.attention.self.lora_value_matrix_A          6_144
model.encoder.layer.3.attention.self.query.bias                     768
model.encoder.layer.3.attention.self.key.bias                       768
model.encoder.layer.3.attention.self.value.bias                     768
model.encoder.layer.3.attention.output.dense.bias                   768
model.encoder.layer.3.attention.output.LayerNorm.weight             768
model.encoder.layer.3.attention.output.LayerNorm.bias               768
model.encoder.layer.3.intermediate.dense.bias                     3_072
model.encoder.layer.3.output.dense.bias                             768
